mongodb/morphia,Java,checkstyle,64,0
square/retrofit,Java,checkstyle,236,0
bumptech/glide,Java,checkstyle,498,716
scribejava/scribejava,Java,checkstyle,83,16
google/auto,Java,checkstyle,118,1926
zeromq/jeromq,Java,checkstyle,81,120139
facebook/buck,Java,pmd,500,0
capitalone/Hygieia,Java,pmd,88,1871
checkstyle/checkstyle,Java,pmd,500,28
Netflix/servo,Java,pmd,60,4801
OpenGrok/OpenGrok,Java,pmd,419,261696
sleekbyte/tailor,Java,pmd,162,0
jashkenas/backbone,JavaScript,eslint,55,245
FreeCodeCamp/FreeCodeCamp,JavaScript,eslint,500,20206
gulpjs/gulp,JavaScript,eslint,45,45
nnnick/Chart.js,JavaScript,eslint,158,11041
jashkenas/underscore,JavaScript,eslint,52,1511
vuejs/vue,JavaScript,eslint,206,479
bower/bower,JavaScript,eslint,125,599825
remy/nodemon,JavaScript,jscs,44,7
jshint/jshint,JavaScript,jscs,248,21
requirejs/requirejs,JavaScript,jscs,65,0
gruntjs/grunt,JavaScript,jscs,60,118
hexojs/hexo,JavaScript,jscs,79,520
jquery/jquery,JavaScript,jshint,500,196
moment/moment,JavaScript,jshint,252,0
caolan/async,JavaScript,jshint,371,418
select2/select2,JavaScript,jshint,500,20
less/less.js,JavaScript,jshint,500,7611
SirVer/ultisnips,Python,pylint,257,38356
numenta/nupic,Python,pylint,500,3923892
rembo10/headphones,Python,pylint,104,14530
pyinstaller/pyinstaller,Python,pylint,500,3367394
cython/cython,Python,pylint,500,3362930
CocoaPods/CocoaPods,Ruby,rubocop,109,0
ruby-grape/grape,Ruby,rubocop,196,14838
capistrano/capistrano,Ruby,rubocop,51,421
sass/sass,Ruby,rubocop,84,316
thoughtbot/paperclip,Ruby,rubocop,116,107262
